obj, center-box, lat, long
2, 0.243707, 0.325617, 0.161892, 0.134259, 40.607477, -8.748825
2, 0.244575, 0.32446, 0.159288, 0.131944, 40.607477, -8.748825
0, 0.14822, 0.22338, 0.0169271, 0.0763889, 40.607413, -8.748752
2, 1971, 1218, 2297, 1290, 40.607586, -8.748930
2, 1743, 1007, 2304, 1296, 0.90334, 40.607552, -8.748928
2, 1582, 836, 2192, 1296, 0.926081, 40.607524, -8.748927
2, 1467, 704, 1984, 1125, 0.915869, 40.607505, -8.748922
2, 1368, 596, 1788, 940, 0.929174, 40.607454, -8.748916
2, 1290, 515, 1634, 799, 0.922052, 40.607438, -8.748915
2, 1230, 457, 1514, 685, 0.888981, 40.607429, -8.748915
2, 1185, 413, 1426, 593, 0.868641, 40.607413, -8.748913
2, 1149, 383, 1349, 532, 0.889847, 40.607405, -8.748912

2, 880, 199, 927, 240, 0.58114, 40.606978, -8.748845
2, 1101, 340, 1260, 471, 0.849704, 40.607341, -8.748905

2, 879, 197, 931, 244, 0.64368, 40.606984, -8.748847
2, 1079, 318, 1223, 433, 0.842186, 40.607330, -8.748903

2, 877, 198, 934, 250, 0.509205, 40.606992, -8.748849
2, 1063, 302, 1182, 398, 0.891588, 40.607318, -8.748904

2, 1045, 284, 1157, 378, 0.812789, 40.607311, -8.748910

2, 1028, 272, 1129, 354, 0.838038, 40.607303, -8.748908

2, 890, 227, 957, 274, 0.563257, 40.607150, -8.748857
2, 1015, 262, 1107, 336, 0.880185, 40.607264, -8.748898

2, 891, 230, 964, 286, 0.616342, 40.607187, -8.748860
2, 1001, 253, 1086, 324, 0.841277, 40.607242, -8.748902

2, 898, 240, 970, 295, 0.730417, 40.607237, -8.748865
2, 994, 241, 1072, 312, 0.768893, 40.607215, -8.748899

2, 979, 229, 1044, 289, 0.62557, 40.607300, -8.748874
2, 904, 250, 991, 325, 0.722593, 40.607109, -8.748892

2 886 203 932 246 0.590457
2 970 227 1029 275 0.709165
2 910 267 1004 346 0.817174
