obj, x1, y1, x2, y2, prob, lat, long
2, 0.451389, 0.183642, 0.0303819, 0.0432099, 0.73773, 40.607126, -8.748893
2, 0.44987, 0.181327, 0.0299479, 0.0416667, 0.715962, 40.607107, -8.748891
2, 0.4477, 0.178241, 0.0290799, 0.0385802, 0.673551, 40.607071, -8.748891
2, 0.446615, 0.177083, 0.0286458, 0.0362654, 0.631307, 40.607038, -8.748888
2, 0.443576, 0.173611, 0.0234375, 0.0339506, 0.631393, 40.607012, -8.748890
2, 0.442057, 0.171296, 0.0230035, 0.0339506, 0.708176, 40.606985, -8.748885
2, 0.441406, 0.17091, 0.0225694, 0.033179, 0.677828, 40.606987, -8.748849
2, 0.411458, 0.157793, 0.0199653, 0.0316358, 0.663692, 40.607024, -8.748852
2, 0.414497, 0.163966, 0.0243056, 0.0470679, 0.582786, 40.607113, -8.748850
2, 0.416233, 0.181713, 0.0277778, 0.0378086, 0.844251, 40.607187, -8.748860
2, 0.422743, 0.193287, 0.0338542, 0.0516975, 0.870497, 40.607260, -8.748864
2, 0.430773, 0.214892, 0.0394965, 0.0640432, 0.906164, 40.607321, -8.748870
2, 0.443359, 0.244599, 0.0490451, 0.0802469, 0.913305, 40.607378, -8.748871
2, 0.465495, 0.31713, 0.078559, 0.128086, 0.885501, 40.607445, -8.748874
2, 0.503255, 0.43287, 0.121962, 0.220679, 0.859533, 40.607502, -8.748877
2, 0.587674, 0.717207, 0.230903, 0.47608, 0.90389, 40.607540, -8.748882
2, 0.670356, 0.85108, 0.284288, 0.290123, 0.911678, 40.607571, -8.748887
2, 0.986762, 0.797454, 0.0256076, 0.122685, 0.560344, 40.607551, -8.749029
2, 0.983073, 0.815586, 0.0321181, 0.143519, 0.769971, 40.607554, -8.749001
2, 0.966146, 0.797068, 0.0677083, 0.194444, 0.846385, 40.607554, -8.749001
2, 0.953125, 0.782022, 0.09375, 0.19213, 0.906838, 40.607544, -8.748959
2, 0.946615, 0.781636, 0.105903, 0.192901, 0.95326, 40.607544, -8.748959
2, 0.919271, 0.767361, 0.161458, 0.204475, 0.879079, 40.607539, -8.748939
2, 0.897569, 0.751543, 0.204861, 0.222222, 0.890781, 40.607528, -8.748934
2, 0.884983, 0.737654, 0.230035, 0.236111, 0.8915, 40.607519, -8.748927
2, 0.86849, 0.725694, 0.237847, 0.23534, 0.877377, 40.607519, -8.748927
2, 0.805773, 0.670525, 0.258247, 0.257716, 0.904221, 40.607510, -8.748920
2, 0.693142, 0.53858, 0.219618, 0.228395, 0.927348, 40.607483, -8.748917
2, 0.623698, 0.455247, 0.16059, 0.182099, 0.839479, 40.607466, -8.748917
2, 0.590061, 0.40625, 0.125434, 0.145833, 0.90026, 40.607452, -8.748915
2, 0.402127, 0.142747, 0.0134549, 0.0231481, 0.523194, 40.606904, -8.748845
